word,phonetic,pos,translation,definition,collocation,frq
distribute,,v,分配；分发,to give out,,32
earn,,v,赚取；获得,to gain by work,,32
educate,,v,教育；培养,to teach,,32
eliminate,,v,消除；淘汰,to remove,,31
emphasize,,v,强调；着重,to stress,,31
encourage,,v,鼓励；激励,to give courage,,31
engage,,v,参与；从事,to involve,,30
enjoy,,v,享受；喜欢,to take pleasure in,,30
escape,,v,逃跑；逃避,to get away,,30
estimate,,v,估计；估算,to approximate,,29
evaluate,,v,评估；评价,to assess,,29
examine,,v,检查；审查,to inspect closely,,29
exchange,,v,交换；交流,to trade,,28
exercise,,v,锻炼；行使,to train body,,28
expand,,v,扩大；扩展,to enlarge,,28
express,,v,表达；表示,to convey,,27
extend,,v,延伸；扩展,to stretch out,,27
fail,,v,失败；不及格,to not succeed,,27
fear,,v,害怕；恐惧,to be afraid,,26
focus,,v,聚焦；集中,to concentrate,,26
forget,,v,忘记,to fail to remember,,26
gain,,v,获得；增加,to obtain,,25
gather,,v,收集；聚集,to bring together,,25
generate,,v,产生；生成,to produce,,25
guarantee,,v,保证；担保,to promise,,24
handle,,v,处理；应付,to manage,,24
hide,,v,隐藏；躲藏,to conceal,,24
identify,,v,识别；确认,to recognize,,23
ignore,,v,忽视；不理,to disregard,,23
imagine,,v,想象；设想,to form mental image,,23
imply,,v,暗示；意味着,to suggest,,22
impress,,v,给…深刻印象,to affect deeply,,22
indicate,,v,表明；指示,to point out,,22
influence,,v,影响,to affect,,21
insist,,v,坚持；坚决要求,to demand firmly,,21
inspect,,v,检查；视察,to examine carefully,,21
install,,v,安装；设置,to set up,,20
intend,,v,打算；意图,to plan,,20
introduce,,v,介绍；引入,to present,,20
invest,,v,投资；投入,to put money in,,19
involve,,v,涉及；包含,to include,,19
judge,,v,判断；评判,to form opinion,,19
maintain,,v,维持；保养,to keep up,,18
measure,,v,测量；衡量,to determine size,,18
obtain,,v,获得；得到,to acquire,,18
occur,,v,发生；出现,to happen,,17
operate,,v,操作；运转,to function,,17
organize,,v,组织；安排,to arrange,,17
overcome,,v,克服；战胜,to defeat,,16
participate,,v,参与；参加,to take part,,16
perceive,,v,感知；察觉,to become aware,,16
persuade,,v,说服；劝说,to convince,,15
possess,,v,拥有；具备,to own,,15
predict,,v,预测；预言,to foretell,,15
prepare,,v,准备；预备,to make ready,,14
present,,v,呈现；赠送,to give,,14
pretend,,v,假装；装作,to feign,,14
process,,v,处理；加工,to handle,,13
promise,,v,承诺；许诺,to pledge,,13
propose,,v,提议；建议,to suggest,,13
prove,,v,证明；证实,to demonstrate,,12
publish,,v,出版；发表,to make public,,12
purchase,,v,购买,to buy,,12
pursue,,v,追求；追赶,to follow,,11
recognize,,v,认出；承认,to identify,,11
recommend,,v,推荐；建议,to suggest favorably,,11
recover,,v,恢复；康复,to get back,,10
refer,,v,提到；参考,to mention,,10
reflect,,v,反射；反映,to mirror,,10
refuse,,v,拒绝,to decline,,9
regard,,v,认为；看待,to consider,,9
reject,,v,拒绝；驳回,to refuse,,9
relate,,v,联系；讲述,to connect,,8
release,,v,释放；发布,to set free,,8
rely,,v,依赖；信赖,to depend,,8
represent,,v,代表；象征,to stand for,,7
request,,v,请求；要求,to ask for,,7
respond,,v,回应；回答,to reply,,7
reveal,,v,揭示；透露,to disclose,,6
satisfy,,v,满足；使满意,to fulfill,,6
seek,,v,寻求；寻找,to search for,,6
select,,v,选择；挑选,to choose,,5
solve,,v,解决；解答,to find solution,,5
struggle,,v,挣扎；奋斗,to strive,,5
submit,,v,提交；呈递,to present for review,,5
succeed,,v,成功；继承,to accomplish,,5
supply,,v,供应；提供,to provide,,5
survive,,v,幸存；存活,to remain alive,,5
tend,,v,倾向；照料,to incline,,5
threaten,,v,威胁；恐吓,to menace,,5
transfer,,v,转移；转让,to move,,5
transform,,v,转变；改造,to change form,,5
treat,,v,对待；治疗,to deal with,,5
vary,,v,变化；不同,to differ,,5
warn,,v,警告；提醒,to caution,,5
waste,,v,浪费,to use carelessly,,5
wish,,v,希望；祝愿,to desire,,5
abandon,,v,放弃；抛弃,to give up completely,,5
abolish,,v,废除；取消,to officially end,,5
abstract,,adj,抽象的,existing as an idea,,5
abundant,,adj,丰富的；充裕的,plentiful,,5
accelerate,,v,加速；促进,to speed up,,5
accommodate,,v,容纳；适应,to provide space,,5
accumulate,,v,积累；积聚,to gather over time,,5
accurate,,adj,准确的；精确的,"exact, correct",,5
acknowledge,,v,承认；致谢,to admit,,5
acquire,,v,获得；习得,to gain,,5
adapt,,v,适应；改编,to adjust,,5
adequate,,adj,足够的；适当的,sufficient,,5
adjacent,,adj,邻近的；毗邻的,next to,,5
advocate,,v,提倡；主张,to support,,5
aesthetic,,adj,美学的；审美的,relating to beauty,,5
aggressive,,adj,侵略性的；好斗的,forceful,,5
allocate,,v,分配；拨给,to assign,,5
alternative,,n,替代方案,another option,,5
ambiguous,,adj,模棱两可的,unclear,,5
analyze,,v,分析；解析,to examine in detail,,5
anticipate,,v,预期；预料,to expect,,5
apparent,,adj,显然的；表面的,obvious,,5
appreciate,,v,欣赏；感激,to value,,5
appropriate,,adj,适当的；恰当的,suitable,,5
arbitrary,,adj,任意的；武断的,random,,5
artificial,,adj,人工的；人造的,man-made,,5
assess,,v,评估；评定,to evaluate,,5
assign,,v,分配；指派,to allocate,,5
associate,,v,联想；联系,to connect,,5
attain,,v,达到；获得,to achieve,,5
attribute,,v,归因于,to credit to,,5
authentic,,adj,真实的；可靠的,genuine,,5
aware,,adj,意识到的；知道的,conscious of,,5
bias,,n,偏见；偏向,prejudice,,5
capacity,,n,能力；容量,"ability, volume",,5
category,,n,类别；范畴,"class, group",,5
cease,,v,停止；终止,to stop,,5
clarify,,v,澄清；阐明,to make clear,,5
coherent,,adj,连贯的；一致的,logical,,5
coincide,,v,巧合；一致,to happen together,,5
collapse,,v,倒塌；崩溃,to fall down,,5
commence,,v,开始,to begin,,5
commodity,,n,商品；货物,goods,,5
compensate,,v,补偿；赔偿,to make up for,,5
competent,,adj,有能力的；胜任的,capable,,5
complement,,v,补充；补足,to complete,,5
complex,,adj,复杂的,complicated,,5
comprehensive,,adj,全面的；综合的,"complete, thorough",,5
comprise,,v,包含；构成,to consist of,,5
compromise,,n,妥协；折中,settlement,,5
concept,,n,概念；观念,idea,,5
conclude,,v,得出结论；结束,"to end, to decide",,5
concrete,,adj,具体的；实在的,"real, specific",,5
conduct,,v,进行；引导,to carry out,,5
confer,,v,授予；商讨,"to grant, to discuss",,5
confine,,v,限制；禁闭,to restrict,,5
conform,,v,符合；遵守,to comply,,5
confront,,v,面对；对抗,to face,,5
consecutive,,adj,连续的,in a row,,5
consensus,,n,共识；一致,general agreement,,5
consequence,,n,后果；结果,result,,5
conserve,,v,保护；节约,to preserve,,5
consistent,,adj,一致的；始终如一的,"steady, uniform",,5
constitute,,v,构成；组成,to form,,5
constrain,,v,限制；约束,to restrict,,5
construct,,v,建造；构建,to build,,5
consult,,v,咨询；查阅,to seek advice,,5
consume,,v,消耗；消费,to use up,,5
contemplate,,v,沉思；考虑,to think deeply,,5
contemporary,,adj,当代的；同时代的,modern,,5
contradict,,v,反驳；矛盾,to oppose,,5
controversial,,adj,有争议的,debatable,,5
conventional,,adj,传统的；常规的,traditional,,5
convey,,v,传达；运送,to communicate,,5
crucial,,adj,关键的；重要的,critical,,5
cultivate,,v,培养；耕作,to nurture,,5
decline,,v,下降；婉拒,"to decrease, to refuse",,5
deduce,,v,推断；演绎,to infer,,5
deficiency,,n,缺乏；不足,shortage,,5
demonstrate,,v,证明；展示,to show clearly,,5
derive,,v,源自；获得,to obtain from,,5
deteriorate,,v,恶化；退化,to worsen,,5
deviate,,v,偏离；背离,to depart from,,5
dimension,,n,维度；尺寸,"aspect, size",,5
diminish,,v,减少；缩小,to decrease,,5
discriminate,,v,歧视；区别,to distinguish,,5
displace,,v,取代；转移,"to move, to replace",,5
dispose,,v,处理；处置,to get rid of,,5
distinct,,adj,明显的；不同的,clearly different,,5
distort,,v,扭曲；歪曲,to twist out of shape,,5
diverse,,adj,多样的；不同的,varied,,5
dominate,,v,支配；主导,to control,,5
dramatic,,adj,戏剧性的；剧烈的,striking,,5
dynamic,,adj,动态的；有活力的,energetic,,5
elaborate,,adj,详尽的；复杂的,detailed,,5
emerge,,v,出现；浮现,to come forth,,5
empirical,,adj,经验的；实证的,based on observation,,5
enhance,,v,提高；增强,to improve,,5
enormous,,adj,巨大的,huge,,5
ensure,,v,确保；保证,to make certain,,5
equivalent,,adj,相等的；等价的,equal,,5
evolve,,v,进化；演变,to develop gradually,,5
exceed,,v,超过；超越,to surpass,,5
explicit,,adj,明确的；清楚的,"clear, direct",,5
exploit,,v,利用；剥削,to use for benefit,,5
external,,adj,外部的；外在的,outside,,5
facilitate,,v,促进；使便利,to make easier,,5
fluctuate,,v,波动；起伏,to vary irregularly,,5
fundamental,,adj,基本的；根本的,basic,,5
genuine,,adj,真实的；真诚的,authentic,,5
hypothesis,,n,假设；假说,proposed explanation,,5
implicit,,adj,含蓄的；隐含的,implied,,5
incentive,,n,激励；诱因,motivation,,5
inevitable,,adj,不可避免的,unavoidable,,5
infer,,v,推断；推论,to deduce,,5
infrastructure,,n,基础设施,basic facilities,,5
inherent,,adj,固有的；内在的,intrinsic,,5
innovation,,n,创新；革新,new idea,,5
integrate,,v,整合；融合,to combine,,5
interpret,,v,解释；诠释,to explain,,5
intervene,,v,干预；介入,to interfere,,5
intrinsic,,adj,固有的；本质的,essential,,5
justify,,v,证明…正当,to show to be right,,5
legitimate,,adj,合法的；正当的,lawful,,5
levy,,v,征收；征税,to impose tax,,5
liberal,,adj,开明的；自由的,open-minded,,5
logic,,n,逻辑；推理,reasoning,,5
manifest,,adj,明显的,"clear, obvious",,5
manipulate,,v,操纵；操作,to control,,5
marginal,,adj,边缘的；微小的,minor,,5
maximize,,v,最大化,to make as large as possible,,5
mechanism,,n,机制；机理,process,,5
mediate,,v,调解；斡旋,to settle dispute,,5
minimize,,v,最小化；降低,to reduce to minimum,,5
modify,,v,修改；调整,to change slightly,,5
monitor,,v,监控；监测,to observe,,5
mutual,,adj,相互的；共同的,shared,,5
neglect,,v,忽视；疏忽,to fail to care for,,5
neutral,,adj,中立的,impartial,,5
notion,,n,概念；观念,idea,,5
objective,,adj,客观的,unbiased,,5
obstacle,,n,障碍；阻碍,barrier,,5
offset,,v,抵消；补偿,to counterbalance,,5
ongoing,,adj,持续的；进行中的,continuing,,5
optimal,,adj,最佳的；最优的,best possible,,5
orient,,v,使适应；定向,"to adjust, to direct",,5
paradigm,,n,范式；典范,"model, pattern",,5
parameter,,n,参数；界限,"factor, limit",,5
persist,,v,坚持；持续,to continue firmly,,5
phenomenon,,n,现象,observable event,,5
potential,,adj,潜在的；可能的,possible,,5
precede,,v,先于；领先,to come before,,5
precise,,adj,精确的；准确的,exact,,5
predominant,,adj,主要的；占主导的,"main, dominant",,5
preliminary,,adj,初步的；预备的,initial,,5
presume,,v,假定；推测,to suppose,,5
prevail,,v,盛行；获胜,"to win, to be common",,5
principal,,adj,主要的；首要的,main,,5
principle,,n,原则；原理,"rule, truth",,5
priority,,n,优先；重点,precedence,,5
profound,,adj,深刻的；深远的,"deep, intense",,5
prohibit,,v,禁止,to forbid,,5
prominent,,adj,突出的；著名的,"famous, noticeable",,5
promote,,v,促进；晋升,to advance,,5
prospect,,n,前景；可能性,possibility,,5
radical,,adj,根本的；激进的,extreme,,5
random,,adj,随机的；任意的,by chance,,5
rational,,adj,理性的；合理的,reasonable,,5
regulate,,v,调节；管理,to control,,5
reinforce,,v,加强；强化,to strengthen,,5
relevant,,adj,相关的；切题的,pertinent,,5
reluctant,,adj,不情愿的；勉强的,unwilling,,5
resolve,,v,解决；决心,to settle,,5
restore,,v,恢复；修复,to bring back,,5
restrict,,v,限制；约束,to limit,,5
retain,,v,保留；保持,to keep,,5
reverse,,v,颠倒；反转,to turn around,,5
rigid,,adj,僵硬的；严格的,"stiff, strict",,5
scenario,,n,场景；方案,situation,,5
scheme,,n,计划；方案,plan,,5
scope,,n,范围；余地,range,,5
sector,,n,部门；领域,section,,5
significant,,adj,重要的；显著的,important,,5
simulate,,v,模拟；仿真,to imitate,,5
sole,,adj,唯一的；单独的,only,,5
specify,,v,明确说明；指定,to state precisely,,5
sphere,,n,领域；范围,"field, domain",,5
spontaneous,,adj,自发的；自然的,unplanned,,5
stable,,adj,稳定的；牢固的,steady,,5
stimulate,,v,刺激；激励,to encourage,,5
strategy,,n,策略；战略,plan,,5
subsequent,,adj,随后的；后来的,following,,5
substitute,,v,替代；替换,to replace,,5
sufficient,,adj,足够的；充分的,enough,,5
superior,,adj,优越的；上级的,"better, higher",,5
sustain,,v,维持；支撑,to support,,5
temporary,,adj,临时的；暂时的,not permanent,,5
trigger,,v,触发；引发,to cause,,5
ultimate,,adj,最终的；根本的,final,,5
undergo,,v,经历；经受,to experience,,5
undermine,,v,削弱；破坏,to weaken,,5
unique,,adj,独特的；唯一的,one of a kind,,5
utilize,,v,利用；使用,to use,,5
valid,,adj,有效的；合理的,sound,,5
viable,,adj,可行的；能存活的,workable,,5
virtual,,adj,虚拟的；实际上的,simulated,,5
visible,,adj,可见的；明显的,able to be seen,,5
widespread,,adj,广泛的；普遍的,extensive,,5
